,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
2738,ApeGang #9991,,Silver Hoop,Gold Sunglasses,White,Pirate,Cigarette,3491,5,0.2202,0.0482,0.0471,0.0402,0.0162,0.0323,0.2848,167.59464176863773,2997
2739,ApeGang #5275,,Diamond Stud,Robot,Grey,Green Beanie,Covid Mask,3491,5,0.2202,0.0483,0.0265,0.0815,0.0166,0.029,0.2848,173.48600595270167,2521
2740,ApeGang #6045,Hippie,,Rainbow Sunglasses,Cream,Cap,,3491,4,0.0247,0.7565,0.0176,0.0845,0.0175,0.3141,0.3968,173.30692626170693,2535
2741,ApeGang #9063,Nurse,,,Cheetah,Groom,Covid Mask,3491,4,0.0235,0.7565,0.3104,0.0294,0.018,0.029,0.3968,173.66879894807536,2508
2742,ApeGang #200,Yellow NBA Jersey,,Strabismus,Brown,Hippie Bandana,,3491,4,0.0241,0.7565,0.0149,0.4242,0.0182,0.3141,0.3968,172.9360412479254,2555
2743,ApeGang #2352,Hotel Porter,,3D Glasses,Black,Cop,Flames,3491,5,0.0228,0.7565,0.0315,0.0868,0.0195,0.0341,0.2848,172.56709569504903,2584
2744,ApeGang #438,White Tank Top,,Black Sunglasses,Grey,Military Helmet,Beard,3491,5,0.0224,0.7565,0.0453,0.0815,0.0178,0.0309,0.2848,172.3631988291154,2600
2745,ApeGang #8188,Purple Hoodie,,Heart,Strong Dark Brown,Hippie Bandana,Baby Pacifier,3491,5,0.0232,0.7565,0.033,0.1097,0.0182,0.0337,0.2848,171.97400733147632,2631
2746,ApeGang #4062,Cop,,3D Glasses,Red Devil,,Grin Rainbow,3491,4,0.0245,0.7565,0.0315,0.0162,0.3096,0.0327,0.3968,171.94380560968628,2634
2747,ApeGang #565,Sheriff,Silver Hoop,,White,Borsalino,Joint,3491,5,0.0245,0.0482,0.3104,0.0402,0.021,0.0325,0.2848,171.56000021583515,2671
